domain	cloudflare_id
elle.com	116
elle.com	7
shared-storage-demo-publisher-b.web.app	-10
azubiyo.de	113
azubiyo.de	13
payment.goog	-10
alketech.eu	155
alketech.eu	26
alketech.eu	75
alketech.eu	3
adtrafficquality.google	108
adtrafficquality.google	12
kakao.com	155
kakao.com	26
rocksolidrustic.com	140
rocksolidrustic.com	18
xsoda.net	133
xsoda.net	2
xsoda.net	182
xsoda.net	34
insyta.com	75
insyta.com	3
pay.goog	-10
kleene.ai	75
kleene.ai	3
kleene.ai	155
kleene.ai	26
shop.by	88
shop.by	22
freewheel.com	75
freewheel.com	3
vampapi.com	-10
outrightmental.com	129
outrightmental.com	12
vlw.se	129
vlw.se	12
